SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,429 S 12th St,Newark City,NJ,07103-1936,215000,3,1.5,Newark City,,2613,2003,1,,,Active,,,http://www.redfin.com/NJ/Newark/429-S-12th-St-07103/home/36235278,GSMLS,3695675,N,Y,40.7391576,-74.2032696
MLS Listing,,Multi-Family (2-4 Unit),525-527 Central Ave,Newark,NJ,07107,2300000,,,,,,,1,,,Active,,,http://www.redfin.com/NJ/Newark/525-Central-Ave-07107/home/174613608,MOMLS,22106274,N,Y,40.7490564,-74.1956106
MLS Listing,,Townhouse,16 Ashby Ln,Newark,NJ,07103,324900,2,2.5,Newark,1276,,,1,255,,Active,,,http://www.redfin.com/NJ/Newark/16-Ashby-Ln-07103/unit-D/home/40057335,NJMLS,21007607,N,Y,40.7413675,-74.1849917
MLS Listing,,Multi-Family (2-4 Unit),24 Dassing Ave,Newark,NJ,07106,399000,,,Newark,2459,2500,1901,1,162,,Active,,,http://www.redfin.com/NJ/Newark/24-Dassing-Ave-07106/home/36292768,BRIGHT MLS,NJES100262,N,Y,40.7424473,-74.2126361
MLS Listing,,Multi-Family (2-4 Unit),41 Winans Ave,Newark,NJ,07108,430000,9,3.0,Newark,,2370,,1,,,Active,March-6-2021 12:00 PM,March-6-2021 03:00 PM,http://www.redfin.com/NJ/Newark/41-Winans-Ave-07108/home/36272176,NJMLS,21007594,N,Y,40.729617,-74.1991422
MLS Listing,,Condo/Co-op,90 Clinton Ave #208,Newark City,NJ,07114-2012,325000,3,2.0,Newark City,1294,1306,2018,1,251,480,Active,,,http://www.redfin.com/NJ/Newark/90-Clinton-Ave-07114/unit-208/home/144831371,GSMLS,3695597,N,Y,40.7253178,-74.1811984
MLS Listing,,Single Family Residential,133 Brill St,Newark,NJ,07105,350000,3,2.0,Newark,,2304,,1,,,Active,,,http://www.redfin.com/NJ/Newark/1-Brill-St-07105/home/165718041,NJMLS,21007494,N,Y,40.7335601,-74.1437
MLS Listing,,Multi-Family (2-4 Unit),269 S 10th St,Newark,NJ,07103,539900,6,4.5,Newark,,4691,,1,,,Active,,,http://www.redfin.com/NJ/Newark/269-S-10th-St-07103/home/59916964,NJMLS,21007484,N,Y,40.7436446,-74.19931
MLS Listing,,Multi-Family (2-4 Unit),267 S 10th St,Newark,NJ,07103,539900,6,4.5,Newark,,4691,,1,,,Active,,,http://www.redfin.com/NJ/Newark/267-S-10th-St-07103/home/105486909,NJMLS,21007480,N,Y,40.74373,-74.199345
MLS Listing,,Condo/Co-op,21-23 Freeman St Unit 2A,Newark,NJ,07105,324900,3,2.0,Newark,,,,1,,,Active,,,http://www.redfin.com/NJ/Newark/2123-Freeman-St-07105/unit-2A/home/36076350,NJMLS,21007469,N,Y,40.733067,-74.145322
MLS Listing,,Multi-Family (2-4 Unit),388 S 11th St,Newark City,NJ,07103-1915,240000,6,5.0,Newark City,4272,3049,1947,1,56,,Active,,,http://www.redfin.com/NJ/Newark/388-S-11th-St-07103/home/36256534,GSMLS,3695430,N,Y,40.7408889,-74.2012174
MLS Listing,,Multi-Family (2-4 Unit),66 Magazine St,Newark City,NJ,07105-3416,565000,5,3.0,Ironbound,,2613,1910,1,,,Active,,,http://www.redfin.com/NJ/Newark/66-Magazine-St-07105/home/36268597,GSMLS,3695425,N,Y,40.7273024,-74.1478286
MLS Listing,,Multi-Family (5+ Unit),186 Clinton Ave,Newark,NJ,07108,725000,,,Newark,5044,,,1,144,,Active,,,http://www.redfin.com/NJ/Newark/186-Clinton-Ave-07108/home/36077827,NJMLS,21007403,N,Y,40.7234349,-74.1856226
MLS Listing,,Multi-Family (2-4 Unit),926-928 S 20th St,Newark,NJ,07108,345000,5,3.0,Newark,,,,2,,,Active,,,http://www.redfin.com/NJ/Newark/926-S-20th-St-07108/home/36277370,NJMLS,21007375,N,Y,40.7243922,-74.2162302
MLS Listing,,Multi-Family (2-4 Unit),31 Seymour Ave,Newark City,NJ,07108-1514,390000,7,3.0,Newark City,29997,3484,1920,2,13,,Active,,,http://www.redfin.com/NJ/Newark/31-Seymour-Ave-07108/home/36273397,GSMLS,3695350,N,Y,40.7244947,-74.2014008
MLS Listing,,Multi-Family (2-4 Unit),314-316 S 10th St,Newark City,NJ,07103-2115,449000,7,3.0,Newark City,2360,3484,1922,2,190,,Active,,,http://www.redfin.com/NJ/Newark/314-316-S-10th-St-07103/unit-316/home/36256512,GSMLS,3695340,N,Y,40.741957,-74.199595
MLS Listing,,Multi-Family (2-4 Unit),575-577 SANDFORD,Newark City,NJ,07106-2504,380000,8,3.0,Newark City,,4791,1924,2,,,Active,,,http://www.redfin.com/NJ/Newark-City/575-577-SANDFORD-07106/home/174603737,GSMLS,3695316,N,Y,40.741957213624104,-74.23340034511058
